,Unnamed: 0,title,author,publish_time,review,url,key_word,Tfidf关键词,分类预测
0,0,郑州遭遇罕见暴雨，民众互助留下无数感动瞬间,童黎,2021/7/21 11:47:21,（观察者网讯）“天灾无情，人有情”这句话，在中国永不过时！三天下了以往一年的雨，遭遇罕见强降水的郑州留下了无数惊心动魄而又感人的瞬间。截至发稿，名为“河南暴雨互助”的微博话题阅读量已超28亿。昨（20日）晚开始，河南暴雨、尤其是降雨量一度达到1小时201.9毫米的郑州，就牵动着全国网友的心。很快，郑州消防员、武警河南总队官兵、中原火箭军、7省1800名消防员……他们都来了！一夜过去，一条条网络视频和消息中，有险情、有驰援、有坚持，也有许多感动。暴雨来袭，20日多名群众浑身湿透一边大喊“抓紧”，一边紧紧拉住一根长绳，拼死拽上了在浑浊湍流中挣扎的女子。另一段视频中，商场工作人员和热心市民也是泡在齐腰的水里，喊着号子，齐力逐个拉出负一楼的被困人员。郑州地铁里情况紧急，郑州消防迅速赶往事发地进行营救，被困者也齐心协力展开自救。地铁5号线被困亲历者告诉@大象新闻：“大家都很团结，我们先采取自救再等待救援，妇女跟小孩先走，有劲的男士抬受伤的女士一块出来。”当晚，郑州图书馆主动发帖提醒附近被困人员，不要冒险回家，图书馆将提供无线网络、热水、简餐和休息场所。为了扩散援助消息，相关贴文已被转发近5万。不断有网友发布可供避险的场所、免费救援车辆信息等，其中有学校、企业、商户，也有个人。据@四川日报援引网友爆料，郑州酒店不仅没有涨价，还降价了。郑州高铁站内，从上海展演归来的师生捧起手中的乐器，为同样滞留车站的旅客演奏了《我和我的祖国》。21日早，央视记者从河南省委宣传部获悉，截至目前，洪灾已造成郑州市区12人死亡，当地已转移避险约10万人。部队、武警官兵、民兵、公安消防等多支救援力量投入救援，抢险仍在紧张进行。从“河南挺住”，到“河南一定行”，全国人民都在为河南加油！,https://www.guancha.cn/politics/2021_07_21_599375.shtml,"河南  ,暴雨,视频新闻",郑州、被困、河南,时政
1,1,河南多地暴雨，子弟兵已出动奔赴救援一线！河南挺住！,来源：央视新闻客户端 ,2021/7/21 11:36:07,连日来，河南省大部分地区出现大暴雨，导致部分地区发生城市内涝、泥石流和山体滑坡等自然灾害，人民群众生命财产安全受到严重威胁。目前，国家防总河南工作组已紧急赶赴现场协助开展抗洪抢险工作，子弟兵们也已出发参与紧急抢险救援。截至21日零时，武警河南总队750余名官兵闻灾而动，紧急投入抢险救灾。△武警官兵奔赴救援一线子弟兵出动！紧急驰援河南暴雨灾情发生后，中部战区迅速启动应急预案，紧急派出前方指挥部指挥战区驻豫部队武警部队官兵和民兵3200多人、车船装备80余台，在10个地域同步投入抢险救灾。7月20日，多地子弟兵已紧急出动，奔赴救援一线。7月20日16时许郑州市中原区常庄水库开闸泄洪，为防范泄洪过程可能出现的险情，18时50分，应郑州市政府请求，武警河南总队郑州支队出动150余名官兵，携带皮划艇、救援装备5800余件，紧急参与抢险救援任务。7月20日17时新密市城关镇东瓦店村双洎河水位暴涨，导致一居民楼数十名群众被困楼顶。武警河南总队郑州支队9名战士乘车携带救生衣、救援绳等装备器材120余件，紧急冒雨挺进灾区展开救援，经过持续2个多小时紧急救援，成功营救被困群众。7月20日17时20分贾鲁河中牟县官渡镇大王庄段多处发生漫堤险情。武警河南总队机动支队特战大队、侦察中队、工兵中队共300余名官兵乘车蹚水紧急出发，携带救援装备器材，前往事发地域，担负河堤加固、抢险救援等任务，经过3个多小时的紧急抢险，有效加固堤坝。7月20日17时50分郑州市惠济区枯河丰乐农庄段发生决堤，河南总队机动支队出动200余名兵力，携带冲锋舟、救援装备、器材参与抢险救援，担负决口封堵、堤坝加固等任务，目前，官兵正在连夜奋战。7月20日20时30分受连续强降雨和郑州市常庄水库泄洪影响，开封市祥符区李店村西渠贾鲁河段水位持续上涨，多处出现险情。应开封市政府请求，开封支队连夜出动100余名兵力，携带橡皮艇、冲锋舟救援装备器材担负抢运物资、疏散群众等任务。7月20日23时许据@中部战区发布，河南省洛阳市伊川县境内伊河滩拦水坝出现约20米决口，河堤受损严重，拦水坝随时可能垮塌。应伊川县人民政府请求，按照中部战区命令，第83集团军某工程防化旅紧急出动，星夜驰援执行爆破分洪任务。截至目前，救援仍在继续。截至21日零时，武警河南总队750余名官兵闻灾而动，紧急投入抢险救灾。此外，驻豫火箭军某部近200人携带皮划艇、救生衣、锹、镐等必要救生器材完成集结，奔赴郑州抢险救灾。据了解，后续大型救灾设备根据要求，做好救灾准备随时出动。7月21日凌晨，空降兵某旅接到中部战区命令后，闻令而动，出动650人，车辆38台，迅速赶赴现场。贾鲁河祥符区段的两处决口，情况危急，官兵们采用人工和机械相结合方式，筑起长1.5公里，高1.2米的沙袋墙，目前已完成大部分河堤加高任务。“哪里有危险，哪里就有子弟兵！”7月20日21时左右，@中部战区坚定发声，紧急驰援河南各地。子弟兵已出动共渡难关河南挺住！,https://www.guancha.cn/politics/2021_07_21_599372.shtml,河南暴雨,紧急、出动、总队,时政
2,2,应急管理部启动消防救援队伍跨区域增援预案 调派1800名消防指战员增援河南防汛抢险救灾,来源：央视网,2021/7/21 11:34:25,央视网消息：据应急管理部网站消息，针对河南省郑州市连降暴雨引发险情，应急管理部第一时间启动消防救援队伍跨区域增援预案，连夜调派河北、山西、江苏、安徽、江西、山东、湖北7省消防救援水上救援专业队伍1800名指战员、250艘舟艇、7套“龙吸水”大功率排涝车、11套远程供水系统、1.85万余件（套）抗洪抢险救援装备紧急驰援河南防汛抢险救灾。河南省消防救援总队根据汛情发展，于7月20日提升战备等级，紧急调派焦作、许昌、漯河、新乡、商丘、驻马店6个支队共180名指战员、43辆消防车、22艘舟艇驰援郑州，开展人员搜救、排水排涝、转移群众等工作。截至21日5时，河南省消防救援队伍接报强降雨相关警情1496起，出动车辆3559辆次、指战员17280人次、舟艇2394艘次，共营救遇险被困群众5574人，疏散群众11397人。其中，郑州市消防救援支队共接警出动1205起，出动车辆2719辆次、指战员13186人次、舟艇2038艘次，营救遇险被困群众5093人，疏散群众10098人。,https://www.guancha.cn/politics/2021_07_21_599371.shtml,河南暴雨,消防、指战员、群众,时政
3,3,解放军来了！风雨有我在，请人民放心,来源：央视网,2021/7/21 11:09:44,央视网消息：河南暴雨灾情发生后，中部战区迅速启动应急预案，紧急派出前方指挥部，指挥战区驻豫部队、武警部队官兵和民兵3200多人，车船装备80余台，在10个地域同步投入抢险救灾。在洛阳市伊川县，平等乡马回营村伊何滩拦水坝出现约20米决口，洪水从拦水坝两侧冲向河堤，河堤受损严重，拦水坝随时可能垮塌。应洛阳市伊川县人民政府请求，按照中部战区命令，瓢泼大雨中，第83集团军某工程防化旅立即启动预案，炸药、雷管、救生舟艇等爆破和防洪器材紧急装车，75名官兵、15台装备车辆在最短时间内集结完毕，火速驰援洛阳市伊川县任务区，计划执行爆破分洪任务。,https://www.guancha.cn/politics/2021_07_21_599357.shtml,河南暴雨,拦水坝、伊川县、洛阳市,时政
4,4,星夜驰援！记者高速路偶遇河北消防救援总队车队,来源：央视网,2021/7/21 11:07:01,央视网消息：7月20日，河南遭遇大范围极端强降雨天气。按照应急管理部消防救援局调度命令，河北省消防救援总队第一时间调集石家庄、邢台、邯郸、衡水支队4支抗洪抢险专业队及训保支队共计389名指战员、96辆执勤车、31艘舟艇和防护、救生、破拆、排水、通信类装备器材4000余件（套），携行72小时自我保障物资，于7月21日4时23分全部集结完毕驰援河南。7省1800名消防员增援河南郑州根据应急管理部部署，消防救援局立即启动跨区域增援预案，调派河北、山西、江苏、安徽、江西、山东、湖北7省消防救援队伍约1800名消防指战员、250艘舟艇、7套大功率排涝车和1.85万余件套抗洪抢险救援装备紧急驰援。河南消防救援总队根据汛情发展，于7月20日提升战备等级，紧急调派焦作、许昌、漯河、新乡、商丘、驻马店6个消防救援支队共180名消防指战员驰援郑州，开展人员搜救、排水排涝、转移群众等工作。截至21日5时，河南消防救援队伍接报强降雨相关警情1400多起，出动消防指战员17000多人次，共营救遇险被困群众5574人，疏散群众11397人。其中，郑州消防救援支队共接警出动1205起，营救遇险被困群众5093人，疏散群众10098人。,https://www.guancha.cn/politics/2021_07_21_599358.shtml,河南暴雨,消防、指战员、支队,时政
5,5,被问“是否携手南太抗中”，马克龙这么回,刘程辉,2021/7/21 10:49:34,【文/观察者网刘程辉】本周一（19日），法国总统马克龙在与南太平洋国家领导人举行线上会议时表示，双方将建立一个南太平洋海岸警卫队网络，以打击“掠夺性捕鱼”行为。尽管马克龙并未点名具体国家，但路透社将矛头指向中国。据新西兰广播电台（RNZ）报道，当天与马克龙共同参会的共有15位南太地区领导人，包括澳大利亚、马绍尔群岛、巴布亚新几内亚、新西兰等。马克龙在会后称，为了更好地应对“掠夺性”捕捞，他希望能够加强法国与南太平洋地区的海上合作。“我们都是掠夺性捕捞的受害者......”马克龙说，“我们将在南太平洋建立一个海岸警卫队网络，围绕信息共享、行动合作及人员培训这三个主要目标进行合作。”尽管马克龙在会后的讲话中没有提到中国，但在被问及这项政策是否旨在针对中国时，马克龙的一名顾问称，该行动所针对的是“在很大程度上由私人进行的非法捕鱼”活动。路透社接着炒作起了所谓中国渔船的捕捞问题。报道称，太平洋岛屿国家虽然面积很小，却控制着资源丰富的广阔海域。随着本土附近的渔业资源存量减少，中国的渔船队已向东南亚海域更深处进发，以寻找新的渔场。报道同时指出，美国和包括法国、日本、澳大利亚和新西兰在内的盟友，正在积极扩大在太平洋地区的活动，以抗衡中国的影响。借所谓“掠夺性捕捞”对中国渔船进行妖魔化，不过是一些西方媒体的老伎俩。比如今年4月美国《华尔街日报》曾发长文，将中国渔船与中国的“海上雄心”放在一起炒作，指控中国渔船队在全球范围内变得更加“咄咄逼人”，引发全球紧张局势。今年6月，美国《外交学者》又借“掠夺性捕捞”问题挑拨中国与南太岛国萨摩亚的关系，甚至宣称美国应对萨摩亚提供保护。去年12月，美国国务院还曾发布报告，污蔑中国捕鱼队是造成太平洋严重IUU问题（即所谓“非法、未报告、无管制远洋捕鱼”问题）的“罪魁祸首”。中国外交部发言人华春莹在回应时表示，中方在《中国远洋渔业履约白皮书》（2020）中全面介绍了中国远洋渔业管理原则立场、政策措施和履约成效，事实胜于雄辩，美方有关指责完全不符合事实，曲解国际法和相关多边渔业协定。华春莹强调，中国是负责任的渔业国家，坚持走绿色可持续发展道路，致力于科学养护和可持续利用渔业资源，促进全球渔业的可持续发展。对于远洋渔船违规违法行为，我们实行“零容忍”，同本地区国家长期以来保持着密切的沟通与合作，致力于维护海洋渔业生产秩序和海洋生态环境。,https://www.guancha.cn/internation/2021_07_21_599353.shtml,"中国捕鱼,马克龙",马克、掠夺性、中国,时政
6,6,英媒有点急：立陶宛带头“抗中”，盟友咋还不跟,张晨静,2021/7/21 10:44:07,【文/观察者网张晨静】人口不足300万的波罗的海东岸小国——立陶宛，近期密集地跳到反华一线。7月20日，台湾民进党当局宣布将在立陶宛设“代表处”，这是欧洲国家第一个以台湾为名的“代表处”，台湾地区领导人蔡英文为此还发帖吹嘘说，这是“重要的外交突破”。英媒《泰晤士报》乘势拱火，当天刊发了一篇专栏作家爱德华·卢卡斯（EdwardLucas）的评论文章，将立陶宛称之为“抗中榜样”，肯定其对抗中国大陆的做法，并喊话其他欧盟国家都应向其学习。针对立陶宛此举，台“国防安全研究院”副研究员李俊毅直言，这背后可能有美国的默许甚至支持。国台办发言人朱凤莲在20日表强烈反对，称再怎么折腾，也改变不了台湾是中国一部分的事实，撼动不了一个中国的国际格局。卢卡斯曾在英国《经济学人》杂志工作23年，现在他除了是《泰晤士报》的专栏作家外，偶尔也为英国小报《每日邮报》撰稿。在去年疫情期间，卢卡斯就曾写过借疫情攻击中国大陆的文章。当地时间7月19日，《泰晤士报》刊发了一篇卢卡斯的评论文章，其中先是指责说包括德国、法国、英国在内的一些欧洲国家的对华政策“令人失望”。“法国茫然地站在看台上、英国在抵制中国和追求中国的财富中摇摆不定……要找到有严肃外交政策的欧洲国家是令人沮丧的困难”。卢卡斯写道，在欧洲大陆往南、往北、往东搜索都是徒劳，乌克兰和曾经的东欧外交大国波兰在与中国“眉来眼去”，欧盟领导人的表现也令人印象不深刻。接着其话锋一转，“但有一个国家很突出：立陶宛”。卢卡斯宣称，自去年12月立陶宛“新执政联盟”上任后，在对抗中国方面就“走得更远”。立陶宛政府又是宣布退出中国与中东欧国家的跨区域合作机制“17+1”，之后又就新疆问题举行听证会；向台湾捐赠疫苗；还宣布计划在台北设“代表处”；预计很快将向“逃离香港人士”提供人道主义签证等。除了采取激进的反华政策外，立陶宛还忙于反俄。文章写道，“当不忙于对抗一个超级大国时，立陶宛就会去对付另一个超级大国”。立陶宛要求欧盟就俄反对派领袖纳瓦利内被捕一事制裁俄罗斯；猛烈抨击俄罗斯政府；白俄罗斯客机迫降事件后，立陶宛也紧跟欧美发表声明谴责白俄罗斯，而俄罗斯作为盟友，对白俄罗斯表示声援。卢卡斯声称，立陶宛的如此做法给其“圈了不少粉”，“立陶宛巧克力在台湾的销量直线上升”。而其与中国大陆的贸易非常之稀少，因此“制裁几乎起不了什么作用”。值得注意的是，中国大陆与立陶宛的进出口额虽并不庞大，但立陶宛是中国大陆在波罗的海地区最大的贸易伙伴，中国大陆则是立陶宛在亚洲最大的贸易伙伴。据欧盟统计局统计，2019年立陶宛与中国大陆双边货物贸易额为13.5亿美元，增长9.5%。截止当年12月，中国大陆位列立陶宛出口市场的第22位，为立陶宛第十大进口来源地。另外，根据中国商务部驻立陶宛大使馆经济商务处数据，2020年1-2月，与2019年同期相比，立陶宛对中国大陆出口增长了29.8％，从中国大陆进口下降了1.2％。中国大陆在立陶宛主要出口国中排名第22，在主要进口国中排名第8。而俄罗斯是立陶宛最大的进出口国。根据立陶宛政府2019年的官方数据，当年俄罗斯对立陶宛的出口为51亿美元，进口为46亿美元，都是第一。因此，立陶宛对中俄的一系列敌对态度，事实上是极可能影响到自身经济的。而对于立陶宛频频跳到反华反俄一线的举动，立陶宛国家广播电视台早前曾刊文直言，立陶宛“希望它对中国的坚定立场能引起华盛顿的注意”，这是“传达给拜登政府的信息”。台媒“中央社”注意到，台当局宣布将在立陶宛设“代表处”后，美国在台协会（AIT）随即发布声明表示支持，声称“所有国家都应享有与台湾缔结更紧密关系及拓展合作的自由”。台“国防安全研究院”副研究员李俊毅认为，这背后可能有美国的默许甚至支持。中方对此已表强烈反对。我外交部发言人赵立坚20日表示，中方坚决反对建交国同台湾进行任何形式的官方往来，反对建交国同台湾互设所谓“代表处”。我们敦促立方坚持一个中国原则，恪守建交承诺，我们也正告台湾当局，“台独”是死路一条，任何妄图在国际上制造“两个中国”“一中一台”的图谋，都不会得逞。国台办发言人朱凤莲在20日表示，民进党当局和“台独”势力的设“处”闹剧目的是谋“独”。再怎么折腾，也改变不了台湾是中国一部分的事实，撼动不了一个中国的国际格局。,https://www.guancha.cn/internation/2021_07_21_599350.shtml,"立陶宛,台湾",立陶宛、卢卡斯、大陆,时政
7,7,俄新一代五代机LMST正式亮相 可带5枚空空弹,来源：观察者网,2021/7/21 10:19:17,【文/观察者网王世纯】俄莫斯科国际航空航天展览会20日在俄罗斯首都莫斯科附近的茹科夫斯基市拉开帷幕，俄第五代单发多用途轻型战斗机LST“将军”（“Checkmate”）的原型机正式亮相并举行发布会。在发布会上，俄罗斯苏霍伊设计局公布了该机的多项指标，该机最大起飞重量18吨，最大战斗载荷为7.4吨，极速为1.8马赫，可实现超音速巡航，最大升限16.5千米，最大转场半径2800公里，最大作战半径1400公里。该机由于采用了14-16吨推力的矢量推进发动机，可实现400米短距起降，并可以按照客户需求改造为舰载机和无人机。在武器配置上，该机拥有三个内置弹仓中，可挂载5枚空对空导弹（三中二近），同时该机主弹舱可以携带多种对面精准弹药，可外挂火箭弹发射巢。在传感器配置上，该机将携带有源相控雷达、101KS机载光电搜索与跟踪系统、内置电子战系统。苏霍伊设计局表示，该机制造成本约为2500万至3000万美元，预计2023年首飞，2026年量产，将主要面向国际市场。该机在发布会上证实了此前曝光照片的部分猜想，该机采用了类似美制YF-23A的V型尾翼，没有水平尾翼，同时该机采用了五代机设计中少见的下颌进气道，但进气道最终采用了无附面层隔道超音速进气道（DSI）进气道，具有一定的隐身设计水平。在武器配置上，该机取消了机载航炮，但拥有三个内置弹仓。其中两个小型内置弹舱位于进气道的两侧，另外一个内置弹舱位于机腹，该机在对空配置上总共可挂载5枚空对空导弹（三中二近），可以发射RVV-SD（R-77-1M）、RVV-MD（R-73M）等空空导弹。该机由于机腹弹舱较大，可以挂载多种配置对地打击配置以及航炮吊舱，这些武器包括GROM-E2空对地导弹、Kh-38MLE短程小型空地导弹、X-58反辐射导弹、K08远程精准打击导弹、250公斤激光制导炸弹等等。值得一提的是，该机还可以外挂多种武器，包括500公斤航弹、80毫米航空火箭弹和130毫米航空火箭弹，这也使得该机成为五代机里第一款标配火箭弹发射巢的战机。LST首席设计师米哈伊尔·斯特里茨（MikhailStrelets）7月20日在接受塔斯社采访时说，它可以在一个网络作战系统中操作，并可以选择有人/无人两种模式。该机将应用人工智能技术来支援飞行员作战，还拥有名为“俄罗斯套娃”（Matreshka）自动后勤保障系统，来降低使用成本。该机具有有开放式架构，每个客户都可以定制不同配置的飞机。斯特里茨还证实，在传感器配置上，该机将携带有源相控雷达、101KS机载光电搜索与跟踪系统、内置电子战系统。他告诉塔斯社，该机配置的有源相控阵雷达（AESA）可以攻击6个目标并跟踪30个空中目标，可以同时追踪地面/海面目标和空中目标。俄联合航空制造集团公司（UAC）首席执行官尤里·斯柳萨里在展会上表示，俄罗斯国家技术集团（Rostec）计划开始2026年生产下一代5代机LST。他说：“新飞机的静态试验将在一年内完成。该系列飞机将从2026年开始提供给客户。我们希望未来15年内能生产300架该型战机。当我说300的时候，这不仅仅是一个梦。这是按国家和地区计算的数字。我们分析了客户。当我们引用这些数据时，我们是负责任的”该机的副总设计师阿列克谢·布拉托夫表示，该机和F-35“根本不是同类型的战斗机”。新型战斗机是苏霍伊局设计的理想中的轻型超音速战斗机，只有在价格方面F-35、鹰狮、阵风可以拿来同新战斗机进行比较。该机是俄联合航空制造集团自筹资金开发的，而不是根据俄罗斯国防部下达命令研发，开发原因是因为市场上没有类似的便宜战机。此前，观察者网军事评论员在评论中表示，下颌式进气道也有其固有的缺陷。从隐身设计的角度考虑，两侧进气显然优于机颌进气：为消除进气道末端发动机的直接雷达回波，隐身设计要求进气道内管道尽可能弯曲，以遮挡发动机入口，如采用腹部进气形式，则只能在飞行器高度方向弯曲内管道，其空间受限严重，难以实现以弯曲管道完全遮蔽发动机入口的隐身设计要求。俄罗斯5代机之所以设计成了机颌进气的样子，其主要原因还是为了产品30这款“单大推”带来的妥协。俄罗斯新五代机机颌近期的目的应该是为了有一个较大的机腹弹舱进行的取舍。这样总体设计的好处是，未来这款主打外贸的五代机在保障飞行性能的前提下，拥有一定的对面打击能力。,https://www.guancha.cn/military-affairs/2021_07_21_599346.shtml,"将军五代机,苏霍伊设计局,LST",进气道、内置、弹舱,科技
8,8,巴基斯坦内政部长：达苏爆炸案调查完成，有人想挑拨中巴关系,来源：观察者网,2021/7/21 10:00:02,（观察者网讯）据巴基斯坦最大的英文报刊《国际新闻报》7月20日报道，巴基斯坦内政部长谢赫·拉希德在当天的新闻发布会上称，执法机构已经完成对达苏爆炸案的调查。他表示，相关调查得到了中方的肯定。报道称，拉希德指责这起事件的背后，是某些“外国势力”试图在中巴之间制造不和。他宣称，某些国家不希望中巴关系得到进一步巩固，并试图向全世界制造一种“巴基斯坦存在严重和平与安全问题”的印象。“某些国际势力不希望看到两国友好关系继续发展，但他们不知道的是，我们的友谊比山还高。”拉希德说。中国驻巴基斯坦大使农融已于19日会见了巴基斯坦陆军参谋长巴杰瓦。后者表示，巴基斯坦非常重视与久经考验的朋友之间的友好关系，巴方将全力与中方合作，确保在巴工作的中国公民安全。巴基斯坦三军公共关系局表示，巴杰瓦与农融大使在会面中讨论了达苏恐袭事件的后续处理，以及在巴中方人员、机构及项目的安全保障问题。两人强调，双方在为和平而努力的同时，也将挫败所有挑战中巴战略合作关系的敌对势力的图谋。拉希德此前也向媒体表示，巴内政部已经向安全机构发出指示，要求为在巴中国提供安全保障。此外，一些巴基斯坦民众也主动为中方人员和项目提供支持。《国际新闻报》称，在爆炸事件发生的上科希斯坦地区，当地民众称要为中国工人提供安全保障。民间组织“达苏大坝受影响者委员会成员”毛拉纳·阿卜杜勒·瓦哈卜向巴媒表示：“当好战势力和恐怖主义达到顶峰的时候，科希斯坦民众不会容许歹徒进入这里。我们不会让这些因素破坏达苏水电站项目和其他大型计划。”瓦哈卜强调，在当地民众眼里，此次对中国公民发动的袭击就相当于是在攻击科希斯坦民众，他们不会容忍中巴友谊的敌人破坏大型能源项目。当地另一名长老古拉布汗则表示，达苏水电站项目将为该地区带来繁荣，科希斯坦民众对巴执法机构积极调查的态度表示满意。7月14日，中方企业承建的开伯尔-普什图省达苏水电站项目出勤班车在赴施工现场途中遭遇爆炸，目前已造成包括9名中方人员在内的13人死亡。,https://www.guancha.cn/internation/2021_07_21_599340.shtml,巴基斯坦,达苏、巴基斯坦、科希斯,时政
9,9,习近平对防汛救灾工作作出重要指示 要求始终把保障人民群众生命财产安全放在第一位 抓细抓实各项防汛救灾措施,来源：新华网,2021/7/21 09:34:16,新华社北京7月21日电中共中央总书记、国家主席、中央军委主席习近平对防汛救灾工作作出重要指示。习近平指出，近日，河南等地持续遭遇强降雨，郑州等城市发生严重内涝，一些河流出现超警水位，个别水库溃坝，部分铁路停运、航班取消，造成重大人员伤亡和财产损失，防汛形势十分严峻。习近平强调，当前已进入防汛关键期，各级领导干部要始终把保障人民群众生命财产安全放在第一位，身先士卒、靠前指挥，迅速组织力量防汛救灾，妥善安置受灾群众，严防次生灾害，最大限度减少人员伤亡和财产损失。解放军和武警部队要积极协助地方开展抢险救灾工作。国家防总、应急管理部、水利部、交通运输部要加强统筹协调，强化灾害隐患巡查排险，加强重要基础设施安全防护，提高降雨、台风、山洪、泥石流等预警预报水平，加大交通疏导力度，抓细抓实各项防汛救灾措施。习近平要求，各地区各有关部门要在做好防汛救灾工作的同时，尽快恢复生产生活秩序，扎实做好受灾群众帮扶救助和卫生防疫工作，防止因灾返贫和“大灾之后有大疫”。,https://www.guancha.cn/politics/2021_07_21_599335.shtml,习近平,受灾、财产损失、人员伤亡,时政
